,text,text_length,total_word,summary,min_word,max_word,source,url,type,model_used
0," Two deaths as a result of a listeriosis outbreak linked to a plant-based milk recall are in Ontario, provincial health officials confirmed Thursday. Silk brand almond milk, coconut milk, almond-coconut milk and oat milk, as well as Great Value brand almond milk, were recalled earlier this month. ""At this point in time, the Ministry of Health can confirm that 2 deaths in Ontario have been related to this outbreak,"" a spokesperson told CP24 in an email. ""The Ministry of Health is working closely with Local Public Health Agencies, Public Health Ontario, the CFIA, Health Canada and the Public Health Agency of Canada regarding the recall of these products."" At least 12 lab-confirmed cases of listeriosis have been reported in connection with the recall, including 10 in Ontario and one each in Quebec and Nova Scotia. All of the affected products, of which there are 18, include the product code 7825 and best-before dates up to and including Oct. 4. According to the Public Health Agency of Canada (PHAC), products contaminated with listeria may not look or smell spoiled but can still make you sick and include symptoms like vomiting, nausea, persistent fever, muscle aches, severe headache and neck stiffness. “Pregnant women, the elderly and people with weakened immune systems are particularly at risk. Although infected pregnant women may experience only mild, flu-like symptoms, the infection can lead to premature delivery, infection of the newborn or even stillbirth. In severe cases of illness, people may die,” PHAC said in the recall. READ MORE: What is listeriosis, the illness recently linked to a recall of plant-based milks? Of the reported listeriosis cases in Canada, 67 per cent were reported in women and the ages of those hospitalized are between 37 and 89. PHAC said the people who became sick developed symptoms between August 2023 and early July 2024. Health officials warned that more infections may continue to be reported as the illness reporting period for this outbreak is between nine and 35 days. In a statement issued Wednesday, the president of Danone Canada, Frédéric Guichard, said all 15 of the Silk products have been removed from shelves across the country. ""The news in this notice is devastating and our most sincere sympathies go out to the families and loved ones during this difficult time,” he said. It’s unclear if the three Great Value products, which are produced by Walmart, are still on the shelves. If you believe you have one of the affected products in your home, PHAC advises to throw the items out or return them to where they were purchased. ",2602,430," Ontario confirms two deaths as a result of a listeriosis outbreak linked to plant-based milk recall . Silk brand almond milk, coconut milk, almond-coconut milk and oat milk were recalled earlier this month . At least 12 lab-confirmed cases have been reported in connection with the recall, including 10 in Ontario and one each in Quebec and Nova Scotia . Danone Canada president Frédéric Guichard said all 15 of the Silk products have been removed from shelves across the country .",102,112,cp24,https://www.cp24.com/news/two-listeriosis-deaths-in-ontario-linked-to-plant-based-milk-recall-moh-1.6968389,news,summarizer
1," A massive rainstorm which flooded roads, basements and businesses in the city Tuesday is raising questions about Toronto's preparedness when it comes to major weather events. The storm, which dumped a month's worth of rain on the city in a matter of hours, overwhelmed sewer systems and waterways, causing damage and hampering transit. While such storms are rare, they are not unheard of. Another storm about a decade ago in 2013 caused major flooding, submerging vehicles and necessitating the rescue of passengers from a half-submerged GO Train. With more adverse weather expected due to climate change, the city has undertaken flood mitigation work over the past decade, including a massive project to reroute the mouth of the Don River to add flood protection in the Port Lands – a project which marked a major milestone just last week and which is expected to be compete by the end of this year. But the fact that the city has undertaken flood protection work over the past few years left some wondering why the city was then so overwhelmed by Tuesday's storm. Speaking on CTV Your Morning Wednesday, Mayor Olivia Chow said flood mitigation is at various stages of work in areas across the city, with some projects still waiting for dollars to flow. ""The west area, still some of those homeowners can't even get insurance for their basements because they've been flooding so much,"" Chow said. ""So we're waiting for the federal government to join us to really do flood mitigation measures in the west end of the city. It's about $300 million, and they've said yes, it's just we're waiting for the funds to flow."" Chow said the city also has ""very, very aggressive"" plans to build more housing in the East Harbour area, east of the Don River, but is also waiting on about $200 million from the federal government for flood protection. However she did note that Ottawa has contributed in a ""big"" way to flood protection with the project to naturalize the mouth of the Don River. One of the massive concrete ""plugs"" separating the newly-created stretch of river was removed last week. Once all of the plugs have been removed, the river will flow out through the new mouth, instead of emptying into the narrow Keating Channel. ""The last plug about to be pulled out in the next couple of months, that will allow the Don River to flow into Lake Ontario, and that would ease a lot of the flooding,"" Chow said. ""So it's happening, but we're almost there."" In a post, Waterfront Toronto confirmed that while a small amount of water from the Don River entered the new stretch of river, the project was not at a stage of completion that would have allowed water to flow through to the new mouth Tuesday. ""A small notch was also recently made at the west end of the North Plug to allow for construction of the riverbank where it meets the wall. Some water and debris flowed into the new river here, and the water level was a little higher than usual,"" Waterfront Toronto said in its post. ""Otherwise, the storm did not impact the construction site and increased waters from the Don River were still moving by way of the Keating Channel."" However the organization also noted that the project is not meant to protect all areas that were affected by Tuesday's flooding. ""The Port Lands Flood Protection project is designed to protect the Port Lands and portions of Leslieville and South Riverdale in a storm even bigger than yesterday's. It is not designed to mitigate flooding on the Don Valley Parkway, which remains within the Don River flood plain."" Speaking with CP24 Tuesday, Environment Canada Senior Climatologist Dave Phillips said that while the city might typically see one or two thunderstorms with heavy rain in a month, Tuesday brought three in quick succession and the infrastructure was not designed to cope. ""So huge amounts of rain and the system, the city infrastructure, couldn't take it. It was overworked. He pointed out that Toronto is ""a different city"" than it was about 20 or 30 years ago, with far more concrete surfaces and less green space that could absorb heavy rainfall. Chow reiterated Wednesday that the city has been looking at ways to encourage people not to pave their properties over with nonporous surfaces. ""We want to do more. For big parking lots, if it's just concrete, the water basically just runs off,"" Chow said. ""What we want them to do is have interlocking bricks, so that the water can seep into the ground, rather than just run off and flood everything else."" Earlier this year, staff proposed a separate tax be added to utility bills as a fixed charge, depending on the size of the paved area on a property.  The move led to cries that Toronto was trying to add a ""rain tax."" Chow directed staff to take another look following an outcry, but said at the time that it was important to have a plan that supports more green infrastructure, prevents flooding, and keeps water bills low. ",4925,855," A massive rainstorm which flooded roads, basements and businesses in the city Tuesday is raising questions about Toronto's preparedness when it comes to major weather events. A massive rainstorm which flooded roads, basements and businesses in the city Tuesday is raising questions about Toronto's preparedness when it comes to major weather events. The storm, which dumped a month's worth of rain on the city in a matter of hours, overwhelmed sewer systems and waterways, causing damage and hampering transit. While such storms are rare, they are not unheard of. Another storm about a decade ago in 2013 caused major flooding, submerging vehicles and necessitating the rescue of passengers from a half-submerged GO Train. With more adverse weather expected due to climate change, the city has undertaken flood mitigation work over the past decade, including a massive project to reroute the mouth of the Don River to add flood protection in the Port Lands – a project which marked a major milestone just last week and which is expected to be compete by the end of this year. But the",208,218,cp24,https://www.cp24.com/news/flooding-raises-questions-about-toronto-s-vulnerability-to-large-storms-1.6967680,news,allenai
2," It appears that not even race car drivers are immune to Toronto gridlock. The Ontario Honda Dealers Indy held a press conference at the Exhibition Grounds on Thursday where some of the drivers who will compete in this weekend’s races spoke with reporters. But one of them almost didn’t make it. Lochie Hughes, an Australian driver who competes in the USF Pro 2000 series, told reporters that he nearly missed the event due to the traffic and had to eventually find another way to get to the track. “I am just super happy to be here in Toronto. I got stuck in traffic as well so I actually rented a bike to get here on time and then ran the rest of the way,” he said. “It is cool to just be outside along the water there. It reminds me a little bit of back home in Australia, people outdoors playing tennis.” The westbound lanes of Lake Shore Boulevard West are closed from Strachan Avenue to British Columbia Drive in order to accommodate the annual street race and police have previously warned drivers to expect “significant delays” in the area. Hughes might not have gotten that message but he was nonetheless in good spirits on Thursday as he spoke about his impressions of the city. “There are Smarties here. At our hotel we have Smarties so I feel right at home,” he said. Hughes isn’t the only visitor to Toronto who has had to alter their plans due to the city’s notorious gridloick. Last month former One Direction member Niall Horan made headlines after he posted a video which showed him walking to the Scotiabank Arena for a performance because the city’s traffic was “too bad.” In the video, which was sped up and had The Proclaimer’s “I’m Gonna Be (500 miles)” playing in the background, Horan was seen walking from just west of Yonge Street to an underground entrance of Scotiabank Arena past Bay Street. “In all the years I’ve been playing shows, I don’t think I’ve ever walked into a venue,” Horan said in the video. Hughes is scheduled to compete in two USF Pro 2000 series races this weekend. The main event, the NTT INDYCAR SERIES race, will wrap up a weekend of racing at 1:30 p.m. on Sunday. ",2115,382," Lochie Hughes, an Australian driver who competes in the USF Pro 2000 series, said he nearly missed the event due to the traffic . The westbound lanes of Lake Shore Boulevard West are closed from Strachan Avenue to British Columbia Drive in order to accommodate the annual street race . The main event, the NTT INDYCAR SERIES race, will wrap up a weekend of racing at 1:30 p.m. on Sunday .",90,100,cp24,https://www.cp24.com/news/i-actually-rented-a-bike-race-car-driver-almost-misses-honda-indy-press-conference-due-to-toronto-gridlock-1.6969007,news,summarizer
3," Shoppers could soon see an expanded selection of alcoholic beverages at their local grocery store, as a strike by LCBO workers continues to drag on. The 450 grocery stores that are licensed to sell alcohol in Ontario are permitted to order ready-to-drink beverages and larger packs of beer as of today, meaning that the beverages could start showing up on some store shelves relatively soon. The province had previously set a date of August 1 to allow grocery stores to sell ready-to-drink cocktails but announced earlier this week that it was moving up the timeline. Ready-to-drink beverages have been at the forefront of the LCBO strike, with the Ontario Public Service Employees Union previously identifying it as a key issue for his members. Premier Doug Ford, for his part, has said that he is unwilling to budge when it comes to its government’s plans to allow grocers to sell ready-to-drink cocktails. “If they want to negotiate over RTD (Ready-To-Drink beverages), the deal is off,” Ford told reporters at a news conference in Etobicoke last week. “Let me be very clear. It is done, it is gone. That ship has sailed. It’s halfway across Lake Ontario.” LCBO outlets across Ontario have been shuttered since talks broke down and about 9.000 OPSEU members walked off the job on July 5. Talks between the union and the province resumed on Wednesday and are continuing today, OPSEU has told CTV News Toronto. Meanwhile, the province continues to move ahead with its plans to expand the sale of some alcoholic beverages. A spokesperson for the Ministry of Finance told CP24.com earlier this week that the Alcohol and Gaming Commission of Ontario has issued licenses to 3,153 convenience stores to sell beer, wine, cider and ready-to-drink beverages since applications first opened on June 17. An additional 54 grocery stores have also been issued licenses. “In less than two months, on September 5, the Ontario marketplace will hit a new milestone with all eligible convenience stores able to sell beer, cider, wine, and ready-to-drink alcoholic beverages. As the first segment of the market to be expanded, we are pleased that so many convenience stores are gearing up to provide people with more choice,” Colin Blachar said. “As the province implements its plan, the government will continue to constantly evaluate how it can deliver choice and convenience.” The Ontario government has previously indicated that the LCBO will retain the exclusive right to sell spirits in Ontario, even as it allows more retailers to sell other alcoholic beverages. ",2554,419, The 450 grocery stores that are licensed to sell alcohol in Ontario are permitted to order ready-to-drink beverages and larger packs of beer as of today . The province had previously set a date of August 1 to allow grocery stores to sell ready todrink cocktails but announced earlier this week that it was moving up the timeline . The Ontario Public Service Employees Union has identified the issue as a key issue for its members . Talks between the union and the province resumed on Wednesday and are continuing today .,99,109,cp24,https://www.cp24.com/news/grocery-stores-can-sell-ready-to-drink-beverages-as-of-today-as-lcbo-strike-continues-1.6968652,news,summarizer
4," Police are warning the public after a large quantity of unapproved prescription drugs were seized during a recent raid in York Region. York Regional Police (YRP) launched an investigation into the trafficking of controlled substances in Vaughan in May. On July 11, police executed a search warrant at a home near Highway 7 and Woodstream Boulevard, east of Martin Grove Road. Police say that officers recovered an “abundance” of prescription drugs that have not been approved by regulatory authorities for “safety, efficacy and quality or for sale in Canada.” The drugs include anabolic steroids, hormone receptors, testosterone replacements, synthetic steroids, erectile dysfunction medications, and opiates. Police said they also seized a quantity of pills they believe to be MDMA as well as two fraudulently registered motor vehicles. Two Vaughan residents have been charged. Jamal Hassan, 29 and Ashley Cunningham, 34, are both facing drug-related charges. “York Regional Police is reminding the public that prescription drugs being sold on the illegal market are often imported from overseas and do not have the same stringent safety regulations as Health Canada,” police said in a news release. “No prescription drugs should be purchased from unlicensed sources, as they may not contain the product that is being advertised. This includes unknown ingredients, incorrect dosages and contamination. Consuming these products can lead to serious health consequences, including hospitalization or even death. Always use legitimate channels to obtain prescription medications safely.” Police continue to investigate and are asking anyone with information to contact investigators. ",1682,248," York Regional Police launched an investigation into the trafficking of controlled substances in Vaughan in May . On July 11, police executed a search warrant at a home near Highway 7 and Woodstream Boulevard, east of Martin Grove Road . Officers recovered an “abundance” of prescription drugs that have not been approved by regulatory authorities",57,67,cp24,https://www.cp24.com/news/2-vaughan-residents-charged-after-unapproved-prescription-drugs-seized-1.6968686,news,summarizer
5," Toronto is still drying out after a storm dropped more than a month’s worth of rain on the city earlier this week, leaving some residents to deal with flooded basements and property damage left in its wake. “I was literally shocked,” Karma Kunsang, a resident of the Rockcliffe–Smythe neighbourhood in Toronto’s northwest, told CTV News Toronto. The area was particularly hit hard by Tuesday’s rainfall and the water levels in Kunsang’s basement reached knee-high height, destroying furniture and toppling over large appliances as the storm surged. “This place, it was like a movie. When this happens to your own house, your brain stops working,” he said. Toronto flooding: Pictures, videos show heavy rainfall in downtown core Eric Swanson lives nearby and saw at least a foot of water in his home’s lower level, despite installing a pressure-sealing door and powered backwater valve in the basement. “Do we call insurance? Do we not call insurance? The mould and the disgustingness of the water and all those issues…I need to get this properly cleaned and taken care of so that my house is still livable,” Swanson said. Homes weren’t the only things damaged in the record-breaking storm, which saw nearly 100 millimetres of rainfall in just a few hours. Several vehicles were also abandoned by their drivers after water gushed onto major roadways across the city, including the Don Valley Parkway where 14 people needed to be rescued. The torrential downpour is already being compared to Toronto’s 2013 storm – listed as one of the most expensive natural disasters in Canada, according to insurance payouts. Data from the Insurance Bureau of Canada (IBC) shows that claims filed in the aftermath of that weather event reached $1 billion. While it’s too early to put a dollar figure on the damage left it the aftermath of Tuesday’s storm, the IBC told CTV News Toronto that the two events are “similar.” “We can’t determine, at this point, what the magnitude of this event is,” Anne Marie Thomas, IBC’s director of consumer and industry relations, said. “We can’t say what this event will cost because, as you can imagine, not everyone has filed an insurance claim yet.” Insurance tips for flooded house, car If your basement was flooded or you needed to abandon your vehicle, the first thing you should do is reach out to you insurer or insurance broker to check your coverage. “Not all [insurance] policies have coverage for weather events like this one,” Thomas said, adding that sewer backup coverage and overland flood coverage would be needed in the case of home insurance, both of which are optional and not always included in basic policies. “A typical homeowner's insurance policy doesn't cover damage caused by sewer backup or flood. It only covers [damage] caused by a burst pipe or something like that in your home,” she said. After you’ve determined what type of coverage you have, the next step is making an inventory of all the damaged items, including taking pictures and videos of those items. If you have proof of purchase, such as a receipt, for an item you’re looking to make a claim for, that will assist in the process. One important note is to hold on to any damaged items before you dispose of them, because, as Thomas explains, the insurance adjuster will want to see the damage as it was at the time of the event. “So if your house is damaged, and you go, ‘OK, I'm just gonna get rid of this.’ Wait until your insurance company says it's okay. Unless that item is posing a health hazard or is a danger,” she said. READ MORE: What to know about insurance claims after Tuesday's flash flooding in Ontario As well, if you rented any equipment to dry out your home, such as a shop vac or industrial fan, keep those receipts as you could be reimbursed. In terms of vehicle insurance for owners who were forced to ditch their vehicle amid the flooding, much like home insurance, only certain policies will cover the damage. “In order for those vehicles to be covered by insurance, the owner of the vehicle would have to have purchased collision or comprehensive coverage or ‘all perils’ coverage,” Thomas said. “Those are the optional physical damage coverages that you can buy for your car. If you have that, then your insurance company would pay to either fix the vehicle or write off your vehicle.” Typically, following a storm like the one on Tuesday, Thomas said the full “realization” of the damage isn’t known until 30 to 45 days after the event. ",4476,767," Toronto is still drying out after a storm dropped more than a month’s worth of rain on the city earlier this week. Toronto is still drying out after a storm dropped more than a month’s worth of rain on the city earlier this week, leaving some residents to deal with flooded basements and property damage left in its wake. “I was literally shocked,” Karma Kunsang, a resident of the Rockcliffe–Smythe neighbourhood in Toronto’s northwest, told CTV News Toronto. The area was particularly hit hard by Tuesday’s rainfall and the water levels in Kunsang’s basement reached knee-high height, destroying furniture and toppling over large appliances as the storm surged. “This place, it was like a movie. When this happens to your own house, your brain stops working,” he said. Toronto flooding: Pictures, videos show heavy rainfall in",186,196,cp24,https://www.cp24.com/news/it-was-like-a-movie-some-toronto-homeowners-facing-flooded-basements-in-wake-of-record-breaking-storm-1.6968798,news,allenai
6," Police are investigating multiple reports of falling objects striking and damaging vehicles near Toronto's Don Valley Parkway in recent months. The Toronto Police Service (TPS) said it first received reports that two vehicles had been damaged by falling objects in the area of Pottery Road and Broadview Avenue in March. Officers determined that the vehicles had been damaged by “various sizes of metal BBs and glass marbles,” police said in a release issued Thursday. Police said they do not know where the objects originated from or who may be responsible. Police said they received a third report in July of a vehicle in the same area damaged by falling objects. In that incident, they said an unknown person threw glass, ball bearings and marbles onto vehicles on Pottery Road. “Drivers, pedestrians, and cyclists in the area are urged to use caution and to be vigilant as police continue to investigate,” the release states. Investigators asked anyone with information to call 416-808-5500, or contact Crime Stoppers anonymously at 416-222-TIPS (8477) or  ",1062,170, Police are investigating multiple reports of falling objects striking and damaging vehicles near Toronto's Don Valley Parkway . The Toronto Police Service said it first received reports that two vehicles had been damaged by falling objects in March . Police said they do,37,47,cp24,https://www.cp24.com/news/police-investigation-reports-of-falling-objects-damaging-vehicles-near-the-don-valley-parkway-1.6969051,news,summarizer
7," A massive summer storm which brought flooding to Toronto earlier this week also dealt a blow to one of the city's major food banks. The North York Harvest Food Bank says it suffered around $50,000 in lost food and damage from the flooding, hampering its ability to provide to those in need. Natasha Bowes, director of development and marketing for the food bank, told CP24 Thursday that the rain overwhelmed their systems. ""It ended up backing up onto our loading docks. We were trying to rescue the food. The power went out,"" she said. The organization tried to transport some of the food to a cold storage facility, but much of it was lost. ""Then while we were trying to save the food that we had in the fridges, we ended up damaging one of our trucks. There was some water damage. So just things built, one over another. Our freezer is already broken. So we're really calling out for the community to help us right now."" The food bank issued an urgent appeal after the damage. ""Our loading bays are flooded, our freezer is broken, and water is pouring into our warehouse,"" the group said on its website. ""The power outage caused us to lose a significant amount of refrigerated food, including milk, cheese, meat, and nutritious kids snacks intended to nourish our community."" They are calling for cash donations to help with the recovery, as well as canned goods. ""They can drop it off at their local fire stations. We have donation boxes at grocery stores across North York, and also here at 116 Industry Street,"" Bowes said. She pointed out that the food bank has seen a high level of usage in the community recently, so the timing is difficult. ""The cost of food, inflation, rent in Toronto is just absolutely insane – so the amount of people that are coming, it was a record month for us,"" Bowes said. ""We've never seen this many people come through the doors and it just keeps going up and up."" ",1904,341," The North York Harvest Food Bank says it suffered around $50,000 in lost food and damage from the flooding . The rain overwhelmed their systems, forcing the food bank to lose refrigerated food . The food bank issued an urgent appeal for cash donations and canned goods to help with the recovery . The organization has seen a high level of usage in the community recently, so the timing is difficult .",80,90,cp24,https://www.cp24.com/news/our-loading-bays-are-flooded-our-freezer-is-broken-north-york-food-bank-appeals-for-help-1.6968547,news,summarizer
8," New condominium sales plummeted to a 27-year-low during the first six months of 2024 as a “sharp downturn in construction starts” in Toronto continued to impact inventory levels, a new report by a real estate research group suggests. Urbanation Inc. says that just 3,159 new condo units were sold in the Greater Toronto and Hamilton Area during the first half of the year, representing a 57 per cent decline from the same time period one year prior and a 72 per cent drop as compared to the 10-year average. Urbanation says that it was also the slowest first half for new condo sales since 1997. “With condo prices still near record highs and only a modest 25 basis point decline in interest rates in June from their 22-year high, buyers remained cautious in anticipation of further rate cuts and amidst a burgeoning supply of units for sale,” Urbanation President Shaun Hildebrand said in a news release. “The continued weakening in condo market conditions during the second quarter of 2024 is likely to cause more projects that were slated to launch this year to remain on hold, while others that are struggling to meet sales thresholds for construction financing may ultimately be pulled from the market.” Urbanation says that the total number of unsold condo units in the GTHA has now reached a record high of 25,89, which equates to about 34 months of supply. That is approximately 10,000 more units than the long-term average, the group points out. However, despite the surplus prices have remained relatively stable. Urbanation says that the average asking price for unsold units declined just 2.6 per cent over the past year and by only 4.5 per cent over the past two years. “This demonstrates how sticky new condominium prices have become due to high development and financing costs, and record prices paid for land at the market peak,” the release notes. The GTA’s real estate market has faced significant headwinds over the last two years due to a significant increase in the price of borrowing. In June the average selling price of a home in the Greater Toronto Area across all property types was $1,162,167. That is down from a peak of $1,334,062 in February 2022, which was the prior to the Bank of Canada beginning its interest rate hiking cycle. ",2263,386," Just 3,159 new condo units were sold in the Greater Toronto and Hamilton Area during the first half of the year . Urbanation Inc. says it was also the slowest first half for new condo sales since 1997 . The total number of unsold condo units in the GTHA has now reached a record high of 25,89, which equates to about 34 months of supply . The GTA’s real estate market has faced significant headwinds over the last two years due",91,101,cp24,https://www.cp24.com/news/new-condo-sales-plummeted-to-lowest-level-since-1997-in-first-half-of-year-report-1.6968728,news,summarizer
9," A Toronto rapper's firearm charges have been dropped after a judge found police breached his Charter rights and gave “tailored” testimonies while on the stand. In an Ontario Superior Court decision released last month, Justice Sandra Nishikawa handed Omary Bent, 27, a stay of proceedings. He was acquitted of four firearm charges laid on him in the summer of 2021. The acquittal was granted, in part, after Nishikawa found that the officers used excessive force in dragging Bent out of his Etobicoke condominium by his hair and breached his right to counsel in questioning him without a lawyer present. In turn, the judge found the court should “distance itself” from the evidence obtained during the raid. Download our app to get alerts on your device Get the latest local updates right to your inbox According to court documents, the Toronto Police Service (TPS) began looking into Bent after it was suggested by a confidential source that he’d been dealing drugs and possessed a firearm. Police raided Brent’s home on July 27, 2021, deploying a Taser on him within minutes. According to Bent, he was hit with the energy weapon while his hands were in the air. One of the officers involved, however, said the Taser had been deployed as Bent reached for a satchel that was later found with a loaded pistol inside. Another officer told the court that the Taser had been deployed as Bent walked towards the police with his hand in his pocket. After being Tased, Bent was then dragged shirtless from his home by his hair, the judge found. Bent testified that the officer dragging him said, “I should have f*****g killed you,” before leaving him with another officer in the building’s stairwell. A photograph taken of Bent by his sister, later used as evidence, shows a bald, raw spot where one of his braids had detached from the skin of his scalp. Bent testified that police then asked for access to his vehicle before giving him the chance to speak with a lawyer, at one point threatening to break the windows if he didn’t comply. Police, meanwhile, have insisted that Brent told officers where they could find the keys without coercion. Nothing was found during a police search of the vehicle. Bent did, however, did admit that he threw a guitar case from his 37th floor balcony. Court documents say that a gun was later found inside that case. Police ultimately charged Bent with one count each of possession of a loaded prohibited firearm and possession of a non-restricted firearm without a licence, along with two counts of possession of a prohibited device, namely an over-capacity magazine. 'False and misleading' In examining the testimonies given by the officers on what led them to Taser Bent, the judge found one of the officer’s accounts “impossible to accept.” She ruled that his testimony that Brent had reached for a satchel contradicted not only the accounts of other officers present but his own. In a report made prior to giving his testimony, the officer had stated Bent had dropped his hands and made no mention of a satchel. In that report, the officer had checked ‘yes’ under ‘Subject Confirmed Armed.’ Bent was not found to be armed. “In this case, checking “yes” [...] was false and misleading,” the judge wrote in her decision. “In my view, [the officer] completed the CEW Report in a manner that would avoid questioning of his use of a Taser.” The judge also took issue with the testimony of three other officers who said they did not recall if Bent had been shirtless at the time of the raid or not. The judge found their accounts inaccurate and described them as an effort to suggest Bent may have had a hidden weapon. “In my view, the officers’ subsequent attempt to justify the use of force by different after-the-fact explanations belies any good faith belief in the necessity of using force at the time,” she wrote. Ultimately, Nishikawa ruled that the deployment of the Taser constituted an excessive use of force and in turn, violated Bent’s Charter rights. The request made by officers for Bent to hand over his keys before speaking to a lawyer was also deemed a breach of rights. When reached for comment, a spokesperson for the Toronto Police Service said that an adverse comment made by a judge cannot be taken as a definitive ruling on officer conduct. “It is important to understand that negative judicial comments do not necessarily constitute misconduct,” Stephanie Sayer wrote in an email to CTV News Toronto. “When officers are testifying in court, they are not the ones on trial. Like any witness, the officers are not parties to the proceeding – they have no right to representation, no ability to call witnesses or make submissions, no right to make legal arguments, etc. They are there to answer the questions posed to them.” In this case, Sayer said the Crown had reviewed the officers’ testimony and found no evidence of misconduct. Still, she said the service’s Professional Standards Unit was investigating the allegations. Case does damage to trust in policing: Lawyer Bent’s lawyers, Hilary Dudding and Maxime Bédard, told CTV News Toronto that the case serves as an important lesson in public trust in policing. “It's so important that the public feel confident in the police and feel that the police are going to be enforcing laws fairly and within the boundary of the law themselves,” Dudding said. “Even one case like this does damage to the trust that the community has in the police service.” “Police are like every other group of people,” she continued. “There's always going to be frailty there, but looking at a system that takes this more seriously and provides some accountability to the public when this happens is really, really important.” Dudding added that it shouldn’t be left up to individuals to face off against the authorities in court, and put forth the idea of a public oversight body tasked with reviewing these kinds of claims more strenuously. “When an internal process takes place, one wonders how many of these complaints are reviewed or how seriously they're taken, and what the consequences are,” she continued. “We’d all benefit from a more strenuous approach to these things, because we need to focus on the issues that really matter in court, as opposed to trying to figure out what really happened during an engagement with the police.” In unrelated proceedings, Bent is facing a charge of second-degree murder in connection with the stabbing of 24-year-old Shacquan Harrison . He is scheduled to stand trial in late 2024 or early 2025. ",6527,1109," officers’ testimony and found no evidence of misconduct. Still, she said the service’s Professional Standards Unit was investigating the allegations. Case does damage to trust in policing: Lawyer Bent’s lawyers, Hilary Dudding and Maxime Bédard, told CTV News Toronto that the case serves as an important lesson in public trust in policing. “It's so important that the public feel confident in the police and feel that the police are going to be enforcing laws fairly and within the boundary of the law themselves,” Dudding said. “Even one case like this does damage to the trust that the community has in the police service.” “Police are like every other group of people,” she continued. “There's always going to be frailty there, but looking at a system that takes this more seriously and provides some accountability to the public when this happens is really, really important.” Dudding added that it shouldn’t be left up to individuals to face off against the authorities in court, and put forth the idea of a public oversight body tasked with reviewing these kinds of claims more strenuously. “When an internal process takes place, one wonders how many of these complaints are reviewed or how seriously they're taken, and what the consequences are,” she continued.",272,282,cp24,https://www.cp24.com/news/toronto-rapper-s-firearms-charges-dropped-after-police-breached-his-rights-tailored-court-testimonies-judge-1.6968281,news,allenai
